id,page_id,action_name,role,is_allowed,created_at,updated_at
75,5,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
76,5,export,coordinator,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
77,5,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
78,5,export,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
79,5,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
80,5,export,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
81,5,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
82,5,export,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
83,5,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
84,5,export,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
85,2,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
86,2,create,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
87,2,update,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
88,2,delete,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
89,2,export,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
90,2,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
91,2,create,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
92,2,update,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
93,2,delete,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
94,2,export,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
95,2,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
96,2,create,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
97,2,update,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
98,2,delete,coordinator,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
99,2,export,coordinator,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
100,2,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
101,2,create,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
102,2,update,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
103,2,delete,director,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
104,2,export,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
105,2,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
106,2,create,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
107,2,update,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
108,2,delete,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
109,2,export,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
110,2,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
111,2,create,partner,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
112,2,update,partner,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
113,2,delete,partner,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
114,2,export,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
115,2,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
116,2,create,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
117,2,update,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
118,2,delete,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
119,2,export,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
120,6,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
121,6,update,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
